2024-05-30 22:55:52,606.temp_producerV1.INFO ==================================================
2024-05-30 22:55:52,607.temp_producerV1.INFO Today is 2024-05-30 at 10:55 PM
2024-05-30 22:55:52,607.temp_producerV1.INFO Running on: nt Windows 10
2024-05-30 22:55:52,607.temp_producerV1.INFO Python version:  3.12.3
2024-05-30 22:55:52,607.temp_producerV1.INFO Python path: C:\Users\Tower\Documents\ACoffinCSIS44671\-streaming-05-smart-smoker\.venv
2024-05-30 22:55:52,607.temp_producerV1.INFO Working dir: C:\Users\Tower\Documents\ACoffinCSIS44671\-streaming-05-smart-smoker
2024-05-30 22:55:52,608.temp_producerV1.INFO ==================================================
2024-05-30 23:15:40,049.temp_producerV1.INFO [x] sent 114.2 at 5/22/2021 12:38 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:38; temp: 114.2 deg F.'
2024-05-30 23:16:12,796.temp_producerV1.INFO [x] sent 115.5 at 5/22/2021 12:39 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:39; temp: 115.5 deg F.'
2024-05-30 23:16:42,988.temp_producerV1.INFO [x] sent 115.5 at 5/22/2021 12:39 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:39; temp: 115.5 deg F.'
2024-05-30 23:17:15,917.temp_producerV1.INFO [x] sent 112.6 at 5/22/2021 12:40 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:40; temp: 112.6 deg F.'
2024-05-30 23:17:46,033.temp_producerV1.INFO [x] sent 112.6 at 5/22/2021 12:40 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:40; temp: 112.6 deg F.'
2024-05-30 23:18:16,144.temp_producerV1.INFO [x] sent 118.8 at 5/22/2021 12:41 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:41; temp: 118.8 deg F.'
2024-05-30 23:18:46,388.temp_producerV1.INFO [x] sent 118.8 at 5/22/2021 12:41 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:41; temp: 118.8 deg F.'
2024-05-30 23:19:16,480.temp_producerV1.INFO [x] sent 113.2 at 5/22/2021 12:42 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:42; temp: 113.2 deg F.'
2024-05-30 23:19:46,605.temp_producerV1.INFO [x] sent 113.2 at 5/22/2021 12:42 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:42; temp: 113.2 deg F.'
2024-05-30 23:20:16,746.temp_producerV1.INFO [x] sent 126.7 at 5/22/2021 12:43 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:43; temp: 126.7 deg F.'
